
BUCKET; 147; COLISOES; 34;
BUCKET; 148; COLISOES; 43;
BUCKET; 149; COLISOES; 44;
BUCKET; 150; COLISOES; 44;
BUCKET; 151; COLISOES; 39;
BUCKET; 152; COLISOES; 46;
BUCKET; 153; COLISOES; 38;
BUCKET; 154; COLISOES; 41;
BUCKET; 155; COLISOES; 43;
BUCKET; 156; COLISOES; 30;
BUCKET; 157; COLISOES; 37;
BUCKET; 158; COLISOES; 46;
BUCKET; 159; COLISOES; 33;
BUCKET; 160; COLISOES; 34;
BUCKET; 161; COLISOES; 37;
BUCKET; 162; COLISOES; 37;
BUCKET; 163; COLISOES; 53;
BUCKET; 164; COLISOES; 41;
BUCKET; 165; COLISOES; 35;
BUCKET; 166; COLISOES; 34;
BUCKET; 167; COLISOES; 37;
BUCKET; 168; COLISOES; 35;
BUCKET; 169; COLISOES; 37;
BUCKET; 170; COLISOES; 36;
BUCKET; 171; COLISOES; 41;
BUCKET; 172; COLISOES; 52;
BUCKET; 173; COLISOES; 20;
BUCKET; 174; COLISOES; 34;
BUCKET; 175; COLISOES; 27;
BUCKET; 176; COLISOES; 49;
BUCKET; 177; COLISOES; 38;
BUCKET; 178; COLISOES; 42;
BUCKET; 179; COLISOES; 36;
BUCKET; 180; COLISOES; 40;
BUCKET; 181; COLISOES; 38;
BUCKET; 182; COLISOES; 24;
BUCKET; 183; COLISOES; 33;
BUCKET; 184; COLISOES; 40;
BUCKET; 185; COLISOES; 32;
BUCKET; 186; COLISOES; 38;
BUCKET; 187; COLISOES; 35;
BUCKET; 188; COLISOES; 35;
BUCKET; 189; COLISOES; 34;
BUCKET; 190; COLISOES; 27;
BUCKET; 191; COLISOES; 45;
BUCKET; 192; COLISOES; 43;
BUCKET; 193; COLISOES; 51;
BUCKET; 194; COLISOES; 34;
BUCKET; 195; COLISOES; 22;
BUCKET; 196; COLISOES; 35;
BUCKET; 197; COLISOES; 34;
BUCKET; 198; COLISOES; 41;
BUCKET; 199; COLISOES; 28;
BUCKET; 200; COLISOES; 35;
BUCKET; 201; COLISOES; 33;
BUCKET; 202; COLISOES; 40;
BUCKET; 203; COLISOES; 39;
BUCKET; 204; COLISOES; 34;
BUCKET; 205; COLISOES; 37;
BUCKET; 206; COLISOES; 39;
BUCKET; 207; COLISOES; 45;
BUCKET; 208; COLISOES; 33;
BUCKET; 209; COLISOES; 32;
BUCKET; 210; COLISOES; 40;
BUCKET; 211; COLISOES; 34;
BUCKET; 212; COLISOES; 23;
BUCKET; 213; COLISOES; 38;
BUCKET; 214; COLISOES; 39;
BUCKET; 215; COLISOES; 38;
BUCKET; 216; COLISOES; 40;
BUCKET; 217; COLISOES; 27;
BUCKET; 218; COLISOES; 37;
BUCKET; 219; COLISOES; 41;
BUCKET; 220; COLISOES; 35;
BUCKET; 221; COLISOES; 38;
BUCKET; 222; COLISOES; 38;
BUCKET; 223; COLISOES; 40;
BUCKET; 224; COLISOES; 38;
BUCKET; 225; COLISOES; 26;
BUCKET; 226; COLISOES; 31;
BUCKET; 227; COLISOES; 27;
BUCKET; 228; COLISOES; 39;
BUCKET; 229; COLISOES; 33;
BUCKET; 230; COLISOES; 40;
BUCKET; 231; COLISOES; 43;
BUCKET; 232; COLISOES; 33;
BUCKET; 233; COLISOES; 34;
BUCKET; 234; COLISOES; 39;
BUCKET; 235; COLISOES; 39;
BUCKET; 236; COLISOES; 49;
BUCKET; 237; COLISOES; 31;
BUCKET; 238; COLISOES; 32;
BUCKET; 239; COLISOES; 40;
BUCKET; 240; COLISOES; 28;
BUCKET; 241; COLISOES; 28;
BUCKET; 242; COLISOES; 41;
BUCKET; 243; COLISOES; 31;
BUCKET; 244; COLISOES; 41;
BUCKET; 245; COLISOES; 41;
BUCKET; 246; COLISOES; 41;
BUCKET; 247; COLISOES; 39;
BUCKET; 248; COLISOES; 29;
BUCKET; 249; COLISOES; 37;
BUCKET; 250; COLISOES; 26;
BUCKET; 251; COLISOES; 39;
BUCKET; 252; COLISOES; 42;
BUCKET; 253; COLISOES; 29;
BUCKET; 254; COLISOES; 44;
BUCKET; 255; COLISOES; 32;
BUCKET; 256; COLISOES; 34;
BUCKET; 257; COLISOES; 39;
BUCKET; 258; COLISOES; 29;
BUCKET; 259; COLISOES; 38;
BUCKET; 260; COLISOES; 26;
BUCKET; 261; COLISOES; 43;
BUCKET; 262; COLISOES; 49;
BUCKET; 263; COLISOES; 31;
BUCKET; 264; COLISOES; 42;
